Kategori,İşlem Adımı,Açıklama,Uygulanan Ürün Grupları,CO2 (kgCO2e/ürün),Not
Kesim,Pastal Hazırlık (Marker),Beden/derinlik dağılımına göre en verimli yerleşim planı oluşturma,Tüm giyim grupları,0.01-0.02,Dijital marker yazılımı/plotter; enerji tüketimi düşük
Kesim,Serim (Spreading) - Manuel,Kat kat kumaş serimi; kenar hizalama,Tüm giyim grupları,0.01-0.03,Serim makinası/konveyör opsiyonlu
Kesim,Serim (Spreading) - Otomatik,Otomatik serim makinesi ile hızlı ve düz serim,Tüm giyim grupları,0.02-0.04,"Daha stabil, fire azalır"
Kesim,Kesim - Manuel Bıçak (Dikey/Şerit),Çok katlı kumaşın şerit/dikey bıçakla kesimi,Tüm giyim grupları,0.02-0.05,Operatör becerisine bağlı kesim doğruluğu
Kesim,Kesim - CNC (Otomatik),Vakumlu masada CNC ile otomatik kesim,Tüm giyim grupları,0.03-0.08,Yüksek hassasiyet; fire düşer
Kesim,Kalıp/Perforaj İşaretleme,"Notch, delik ve işaretlerin eklenmesi",Tüm giyim grupları,0.005-0.015,Pnömatik/elektrikli ekipman
Kesim,Kenar Düzeltme & Çentik (Notching),Dikiş referansı için çentik açma,Tüm giyim grupları,0.005-0.010,Hata azaltır
Kesim,Demetleme (Bundling) & Etiketleme,Parçaların model/beden bazında demetlenmesi ve biletlenmesi,Tüm giyim grupları,0.005-0.015,İzlenebilirlik için önemlidir
Kesim,Tela Kesimi (Interlining),Tela ve yardımcı malzemelerin kesimi,"Gömlek, Ceket, Dış giyim",0.01-0.03,Isı ile yapışma öncesi
Kesim,Lazer Kesim,Lazer ile hassas kesim ve mühürleme,"Teknik giyim, Aksesuar, Sentetik",0.02-0.05,Kenar mühürleme sağlar
Triyaj/Preparasyon,Operasyon Planlama (SMV Bozumu),Model için operasyonların sıralanması ve zaman etüdü,Tüm giyim grupları,0.005-0.015,IE mühendisliği; hat dengeleme
Triyaj/Preparasyon,Hat Dengeleme & Besleme,İş istasyonlarına WIP akışının ayarlanması,Tüm giyim grupları,0.005-0.015,Verimlilik artışı sağlar
Triyaj/Preparasyon,Telalama (Fusing),Tela ile parçaların preslenerek yapıştırılması,"Gömlek, Ceket, Dış giyim",0.03-0.06,Sürekli bant pres/kalıp pres
Triyaj/Preparasyon,Cep/Plaket/Pat Hazırlığı,"Cüzdan cep, plaket, pat katlama ve ütüleme","Gömlek, Ceket, Denim",0.02-0.05,Kalıp/şablonla standartlaştırma
Triyaj/Preparasyon,Ön İşlem Nakış/Baskı,Dikim öncesi nakış veya baskı uygulaması,"Tişört, Sweatshirt, Çocuk",0.15-0.40,İşleme göre değişir (bkz. ilgili tablolar)
Triyaj/Preparasyon,Aksesuar Hazırlığı,"Etiket, fermuar, düğme, ribana vb. hat besleme",Tüm giyim grupları,0.005-0.015,Malzeme ayrıştırma ve kalite kontrol
Dikim,Overlock (3/4/5 İplik),Kenar temizleme ve birleştirme,"Tişört, Sweatshirt, Örme",0.03-0.06,Makine gücü ve SMV’ye bağlı
Dikim,Düz Dikiş (Lockstitch),Ana birleştirme dikişleri,Tüm giyim grupları,0.05-0.12,SMV arttıkça CO2 artar
Dikim,Zincir Dikiş (Chainstitch),"Esnek dikiş, yan/kol altı","Örme, Denim",0.04-0.08,Spor giyimde yaygın
