Üst Kategori,Kategori,İşlem,Açıklama,Uygulanan Ürün Grupları,CO2 (kgCO2e/ürün),Not
Bitmiş Ürün İşlemleri,Baskı Teknikleri,Serigrafi (Screen Print),"Klasik baskı tekniği; dayanıklı, çok renkli baskılar","Tişört, Sweatshirt, Çocuk Giyim",0.35-0.50,
Bitmiş Ürün İşlemleri,Baskı Teknikleri,Rotasyon (Rotary Screen Print),Döner silindirle sürekli desen baskı,"Denim, Dış Giyim, Büyük parçalar",0.40-0.60,
Bitmiş Ürün İşlemleri,Baskı Teknikleri,Dijital Baskı,Fotoğraf kalitesinde baskı,"Moda koleksiyonları, Premium tişört, Elbise",0.25-0.40,
Bitmiş Ürün İşlemleri,Baskı Teknikleri,Sublimasyon,Polyester bazlı kumaşa transfer,"Spor giyim, Forma, Aktif giyim",0.30-0.45,
Bitmiş Ürün İşlemleri,Baskı Teknikleri,Folyo (Foil) Baskı,Parlak metalik yüzey,"Kadın giyim, Moda, Aksesuar",0.20-0.35,
Bitmiş Ürün İşlemleri,Baskı Teknikleri,Discharge (Açık Ekran) Baskı,Boya çıkarılarak desen oluşturma,"Tişört, Sweatshirt",0.30-0.50,
Bitmiş Ürün İşlemleri,Baskı Teknikleri,Kabartma (Emboss) Baskı,3D yüzeyli desen,"Moda tişört, Özel koleksiyon",0.25-0.40,
Bitmiş Ürün İşlemleri,Baskı Teknikleri,Sim / Glitter Baskı,Parıltılı efekt,Kadın & Çocuk giyim,0.20-0.35,
Bitmiş Ürün İşlemleri,Nakış & Süsleme,Direkt Nakış,Klasik nakış,"Polo, Gömlek, Şapka, Çocuk giyim",0.20-0.35,
Bitmiş Ürün İşlemleri,Nakış & Süsleme,Aplike Nakış,Kumaş parçalarının işlenmesi,"Sweatshirt, Denim, Ceket",0.30-0.45,
Bitmiş Ürün İşlemleri,Nakış & Süsleme,Chenille Nakış,Havlı ipliklerle dokulu nakış,"Kolej montu, Sweatshirt",0.35-0.55,
Bitmiş Ürün İşlemleri,Nakış & Süsleme,3D Nakış,Kabartmalı nakış,"Spor şapka, Polo",0.25-0.40,
Bitmiş Ürün İşlemleri,Nakış & Süsleme,Boncuklu / Taşlı Nakış,Dekoratif lüks nakış,"Kadın abiye, Özel koleksiyon",0.40-0.70,
