id,top_category,category,operation,description,product_groups,notes,co2_min,co2_max,co2_unit
1,Bitmiş Ürün İşlemleri,Baskı Teknikleri,Serigrafi (Screen Print),"Klasik baskı tekniği; dayanıklı, çok renkli baskılar","Tişört, Sweatshirt, Çocuk Giyim",nan,0.35000000000000003,0.5,kgCO2e_per_unit
2,Bitmiş Ürün İşlemleri,Baskı Teknikleri,Rotasyon (Rotary Screen Print),Döner silindirle sürekli desen baskı,"Denim, Dış Giyim, Büyük parçalar",nan,0.4,0.6000000000000001,kgCO2e_per_unit
3,Bitmiş Ürün İşlemleri,Baskı Teknikleri,Dijital Baskı,Fotoğraf kalitesinde baskı,"Moda koleksiyonları, Premium tişört, Elbise",nan,0.25,0.4,kgCO2e_per_unit
4,Bitmiş Ürün İşlemleri,Baskı Teknikleri,Sublimasyon,Polyester bazlı kumaşa transfer,"Spor giyim, Forma, Aktif giyim",nan,0.30000000000000004,0.45,kgCO2e_per_unit
5,Bitmiş Ürün İşlemleri,Baskı Teknikleri,Folyo (Foil) Baskı,Parlak metalik yüzey,"Kadın giyim, Moda, Aksesuar",nan,0.2,0.35000000000000003,kgCO2e_per_unit
6,Bitmiş Ürün İşlemleri,Baskı Teknikleri,Discharge (Açık Ekran) Baskı,Boya çıkarılarak desen oluşturma,"Tişört, Sweatshirt",nan,0.30000000000000004,0.5,kgCO2e_per_unit
7,Bitmiş Ürün İşlemleri,Baskı Teknikleri,Kabartma (Emboss) Baskı,3D yüzeyli desen,"Moda tişört, Özel koleksiyon",nan,0.25,0.4,kgCO2e_per_unit
8,Bitmiş Ürün İşlemleri,Baskı Teknikleri,Sim / Glitter Baskı,Parıltılı efekt,Kadın & Çocuk giyim,nan,0.2,0.35000000000000003,kgCO2e_per_unit
9,Bitmiş Ürün İşlemleri,Nakış & Süsleme,Direkt Nakış,Klasik nakış,"Polo, Gömlek, Şapka, Çocuk giyim",nan,0.2,0.35000000000000003,kgCO2e_per_unit
10,Bitmiş Ürün İşlemleri,Nakış & Süsleme,Aplike Nakış,Kumaş parçalarının işlenmesi,"Sweatshirt, Denim, Ceket",nan,0.30000000000000004,0.45,kgCO2e_per_unit
11,Bitmiş Ürün İşlemleri,Nakış & Süsleme,Chenille Nakış,Havlı ipliklerle dokulu nakış,"Kolej montu, Sweatshirt",nan,0.35000000000000003,0.55,kgCO2e_per_unit
12,Bitmiş Ürün İşlemleri,Nakış & Süsleme,3D Nakış,Kabartmalı nakış,"Spor şapka, Polo",nan,0.25,0.4,kgCO2e_per_unit
13,Bitmiş Ürün İşlemleri,Nakış & Süsleme,Boncuklu / Taşlı Nakış,Dekoratif lüks nakış,"Kadın abiye, Özel koleksiyon",nan,0.4,0.7000000000000001,kgCO2e_per_unit
14,Bitmiş Ürün İşlemleri,Aplike & Eklemeler,Kumaş Aplike,Ek kumaş parçaları ile desen,"Denim jacket, Sweatshirt",nan,0.2,0.35000000000000003,kgCO2e_per_unit
15,Bitmiş Ürün İşlemleri,Aplike & Eklemeler,Patch / Arma,Dikişli veya yapıştırmalı arma,"Tişört, Denim, Spor giyim",nan,0.15,0.30000000000000004,kgCO2e_per_unit
16,Bitmiş Ürün İşlemleri,Aplike & Eklemeler,Laser-cut Aplike,Lazerle kesilmiş aplike,"Moda, Genç giyim",nan,0.2,0.35000000000000003,kgCO2e_per_unit
17,Bitmiş Ürün İşlemleri,Aplike & Eklemeler,PVC / PU Aplike,Sentetik aplike,"Spor giyim, Streetwear",nan,0.25,0.4,kgCO2e_per_unit
18,Bitmiş Ürün İşlemleri,Parça Boyama,Garment Dye,Bitmiş ürünü boyama,"Tişört, Sweatshirt, Denim",nan,0.8,1.2,kgCO2e_per_unit
19,Bitmiş Ürün İşlemleri,Parça Boyama,Dip Dye / Ombre,Kademeli renk geçişi,"Tişört, Elbise, Çocuk giyim",nan,0.5,0.8,kgCO2e_per_unit
20,Bitmiş Ürün İşlemleri,Parça Boyama,Tie-Dye,"Batik, bağlama boyama","Moda trend, Çocuk, Festival giyim",nan,0.6000000000000001,0.9,kgCO2e_per_unit
